step,n_atoms_def,n_vacancies,n_interstitials,elapsed_s
556000,1314036,5,5,4.87
557000,1314036,5,5,4.84
558000,1314036,5,5,4.91
559000,1314036,5,5,4.8
560000,1314036,5,5,4.72
561000,1314036,5,5,4.85
562000,1314036,5,5,4.99
563000,1314036,5,5,4.74
564000,1314036,5,5,4.81
565000,1314036,5,5,4.98
566000,1314036,5,5,5.09
567000,1314036,5,5,4.73
568000,1314036,5,5,4.7
569000,1314036,5,5,4.85
570000,1314036,5,5,4.82
571000,1314036,5,5,4.79
572000,1314036,5,5,4.79
573000,1314036,5,5,4.84
574000,1314036,5,5,4.65
575000,1314036,5,5,4.77
576000,1314036,5,5,4.87
577000,1314036,5,5,4.63
578000,1314036,5,5,4.76
579000,1314036,5,5,4.96
580000,1314036,5,5,4.75
581000,1314036,5,5,4.83
582000,1314036,5,5,4.91
583000,1314036,5,5,4.72
584000,1314036,5,5,4.73
585000,1314036,5,5,4.69
586000,1314036,5,5,4.7
587000,1314036,5,5,4.67
588000,1314036,5,5,4.66
589000,1314036,5,5,4.71
590000,1314036,5,5,4.71
591000,1314036,5,5,4.78
592000,1314036,5,5,4.79
593000,1314036,5,5,4.73
594000,1314036,5,5,4.68
595000,1314036,5,5,4.75
596000,1314036,5,5,4.67
597000,1314036,5,5,4.79
598000,1314036,5,5,4.82
599000,1314036,5,5,4.47
600000,1314036,5,5,4.47
601000,1314036,5,5,4.79
602000,1314036,5,5,4.7
603000,1314036,5,5,4.82
604000,1314036,5,5,4.79
605000,1314036,5,5,4.46
606000,1314036,5,5,4.79
607000,1314036,5,5,4.5
608000,1314036,5,5,4.79
609000,1314036,5,5,4.46
610000,1314036,5,5,4.42
611000,1314036,5,5,4.83
612000,1314036,5,5,4.66
613000,1314036,5,5,4.92
614000,1314036,5,5,4.88
615000,1314036,5,5,4.74
616000,1314036,5,5,4.76
617000,1314036,5,5,4.62
618000,1314036,5,5,4.73
619000,1314036,5,5,4.59
620000,1314036,5,5,4.79
621000,1314036,5,5,4.65
622000,1314036,5,5,4.84
623000,1314036,5,5,4.6
624000,1314036,5,5,4.84
625000,1314036,5,5,4.8
626000,1314036,5,5,4.65
627000,1314036,5,5,4.74
628000,1314036,5,5,4.72
629000,1314036,5,5,4.75
630000,1314036,5,5,4.81
631000,1314036,5,5,4.59
632000,1314036,5,5,4.62
633000,1314036,5,5,4.97
634000,1314036,5,5,4.79
635000,1314036,5,5,4.95
636000,1314036,5,5,4.99
637000,1314036,5,5,4.58
638000,1314036,5,5,4.97
639000,1314036,5,5,4.64
640000,1314036,5,5,4.6
641000,1314036,5,5,4.61
642000,1314036,5,5,5.06
643000,1314036,5,5,4.82
644000,1314036,5,5,5.08
645000,1314036,5,5,5.09
646000,1314036,5,5,5.13
647000,1314036,5,5,4.89
648000,1314036,5,5,4.86
649000,1314036,5,5,4.92
650000,1314036,5,5,4.7
651000,1314036,5,5,4.83
652000,1314036,5,5,4.67
653000,1314036,5,5,4.69
654000,1314036,5,5,4.9
655000,1314036,5,5,4.9
656000,1314036,5,5,4.7
657000,1314036,5,5,4.85
658000,1314036,5,5,4.67
659000,1314036,5,5,4.59
660000,1314036,5,5,4.71
661000,1314036,5,5,4.66
662000,1314036,5,5,4.69
663000,1314036,5,5,4.66
664000,1314036,5,5,4.65
665000,1314036,5,5,4.82
666000,1314036,5,5,4.62
667000,1314036,5,5,4.99
668000,1314036,5,5,4.63
669000,1314036,5,5,4.83
670000,1314036,5,5,4.83
671000,1314036,5,5,4.7
672000,1314036,5,5,4.61
673000,1314036,5,5,4.62
674000,1314036,5,5,4.84
675000,1314036,5,5,4.75
676000,1314036,5,5,4.93
677000,1314036,5,5,4.94
678000,1314036,5,5,4.76
679000,1314036,5,5,4.72
680000,1314036,5,5,5.03
681000,1314036,5,5,4.81
682000,1314036,5,5,4.71
683000,1314036,5,5,4.61
684000,1314036,5,5,4.69
685000,1314036,5,5,4.73
686000,1314036,5,5,4.67
687000,1314036,5,5,4.7
688000,1314036,5,5,4.63
689000,1314036,5,5,4.76
690000,1314036,5,5,4.7
691000,1314036,5,5,4.49
692000,1314036,5,5,4.8
693000,1314036,5,5,4.79
694000,1314036,5,5,4.46
695000,1314036,5,5,4.49
696000,1314036,5,5,4.8
697000,1314036,5,5,4.67
698000,1314036,5,5,4.42
699000,1314036,5,5,4.52
700000,1314036,5,5,4.61
