# ref_id x y z occupancy n_extra
381422 -51.89289601 -1.69435700 -21.39123874 2 1
381423 -51.87679974 -3.54391544 -19.59021654 2 1
381494 -59.06514672 1.92990162 -21.49406985 2 1
381533 -25.01870807 0.04554330 -21.43499142 2 1
381550 -9.01363254 1.84508206 -21.34358797 2 1
381570 -62.54289264 5.40209534 -21.44434148 2 1
381572 -64.44188465 5.42216763 -19.63983280 2 1
381574 -58.96375895 5.37600108 -21.58419656 2 1
381576 -60.64956505 5.46111014 -19.70337362 2 1
381577 -57.15644670 3.61221434 -21.58085912 2 1
381616 -25.11976051 5.30196670 -19.67015564 2 1
381633 -7.30852497 3.69928561 -21.42000542 2 1
381639 -1.91401561 3.51308705 -19.59562868 3 2
381641 -71.48855356 7.18960857 -21.39242319 2 1
381643 -69.66193414 7.22539834 -19.72854896 2 1
381646 -65.97846761 8.94323492 -21.45178121 2 1
381648 -67.95416213 8.88338176 -19.68909675 2 1
381652 -64.20949721 8.87598620 -19.65752786 2 1
381716 -7.15869608 8.95983577 -19.68124042 2 1
381718 -1.91951204 8.96836795 -21.51345196 2 1
381719 -1.87339958 7.17559200 -19.77669315 2 1
381729 -64.30901643 10.69078059 -21.43983020 2 1
381773 -25.08281147 10.68829716 -21.43226586 2 1
381794 -5.42645233 12.58676748 -21.35389985 2 1
381797 -3.64831056 10.88482248 -21.52295905 2 1
381862 -51.87312597 -8.81473655 -17.83391958 2 1
381942 -51.83204136 -5.26235620 -17.86081485 2 1
381959 -37.66688559 -7.09366051 -16.06171127 2 1
382019 -55.46417091 -3.45496758 -16.06489253 2 1
382079 -1.76640728 -3.51532313 -16.03340775 2 1
382094 -59.00726934 1.86538634 -17.92024038 2 1
382095 -58.99754048 -0.00241512 -15.99646329 2 1
382097 -57.26951089 -0.06682089 -17.76336306 2 1
382099 -55.36597674 -0.07321393 -16.12341849 2 1
382101 -53.60073503 0.00056671 -17.82539090 2 1
382142 -16.19636147 1.68946844 -17.74839167 2 1
382151 -9.00378965 0.05430379 -15.99640630 2 1
382155 -5.46112466 0.00449221 -15.98289588 2 1
382157 -3.58457096 0.13217010 -17.87210905 2 1
382166 -66.10556851 5.47807360 -17.77422954 2 1
382173 -60.70453500 3.63308692 -17.88190928 2 1
382177 -57.19491107 3.52826384 -17.87779027 2 1
382223 -16.23090143 3.65778791 -15.89634793 2 1
382246 -66.13682056 8.77357101 -17.85663312 2 1
382248 -67.83065694 8.83010936 -16.14739136 2 1
382251 -62.47056168 7.06463645 -16.05575838 2 1
382313 -7.20065151 7.21605156 -18.00732404 2 1
382386 -12.56366591 12.50814579 -17.92274804 2 1
382388 -14.24719973 12.57950902 -16.08643049 2 1
382464 -53.53581663 -8.83195649 -12.46145261 2 1
382468 -50.02990248 -8.87057569 -12.55197670 2 1
382478 -37.62816775 -8.96402544 -14.16744023 2 1
382512 -10.75515554 -8.87276759 -12.65266535 2 1
382517 -3.68869034 -10.61366892 -14.22248828 2 1
382539 -55.32575034 -7.10745624 -12.46766791 2 1
382540 -57.20195427 -5.45861109 -12.55224064 2 1
382543 -51.80187983 -6.99554935 -12.59519399 2 1
382612 -64.31770317 -1.88571837 -12.47144476 2 1
382615 -58.96280671 -3.67372868 -12.59349864 2 1
382620 -57.15328251 -1.74263228 -12.55157669 2 1
382624 -53.60991804 -1.76611380 -12.51269497 2 1
382671 -9.01862121 -3.43409379 -12.50492662 2 1
382674 -5.47763124 -1.65551495 -14.28731094 2 1
382691 -62.48735519 -0.02717382 -12.50367520 2 1
382695 -58.94314309 0.07443608 -12.57609185 2 1
382696 -60.68457645 1.84766419 -12.51817896 2 1
382700 -57.16443092 1.90873290 -12.51583597 2 1
382749 -10.80506515 0.10821048 -14.23764562 2 1
382751 -8.95384641 0.04184273 -12.47035719 2 1
382766 -66.13047281 5.27276481 -14.21823574 2 1
382767 -65.99013379 3.53495194 -12.39550096 2 1
382768 -67.81604956 5.34787840 -12.51860126 2 1
382769 -64.41403307 3.50209878 -14.39770728 2 1
382770 -62.61121239 5.36859684 -14.29735587 2 1
382771 -62.63003804 3.43847512 -12.43650746 2 1
382776 -60.83648536 5.27343040 -12.45474272 2 1
382805 -32.16343523 3.71126688 -14.31501495 2 1
382825 -14.32550601 3.54039801 -14.26401112 2 1
382827 -12.56751138 3.57014068 -12.58804525 2 1
382836 -7.17323775 5.40834881 -12.57256750 2 1
382845 -67.88160184 7.14693379 -14.14119177 2 1
382849 -64.34039579 7.10280515 -14.38600544 2 1
382910 -9.03214352 8.96316127 -14.29950522 2 1
