# id type x y z dist_to_ref defect_prob defect_type
262 1 21.72330000 -2.63297000 21.19950000 0.11951706 0.33820401 Lattice
263 1 12.36090000 -2.89631000 31.85860000 0.10951811 0.29292375 Lattice
264 1 25.20940000 -12.16580000 -16.66750000 0.11466398 0.31610758 Lattice
265 1 23.12710000 -13.50520000 21.05830000 0.10441882 0.27027716 Lattice
266 1 12.72570000 -19.78460000 23.62690000 0.20177810 0.69167215 Unknown
267 1 14.18480000 -9.02345000 -28.45220000 0.12252553 0.35198489 Lattice
268 1 32.92040000 -1.65244000 12.00360000 0.10747188 0.28379259 Lattice
269 1 9.64007000 -29.78660000 -9.61756000 0.62770124 0.99998865 Unknown
270 1 22.97570000 -13.06540000 18.18990000 0.11959063 0.33854036 Lattice
271 1 14.58030000 -22.82210000 20.47030000 0.46705170 0.99817080 Unknown
272 1 21.15510000 -17.33500000 -14.26120000 0.13529876 0.41081309 Lattice
273 1 -3.22791000 -15.68900000 28.21940000 0.11872720 0.33459524 Lattice
274 1 4.09773000 13.33160000 -28.58230000 0.11515847 0.31834992 Lattice
275 1 9.00621000 -30.51530000 10.14040000 0.66460486 0.99999714 Unknown
276 1 28.94660000 -7.21197000 17.22960000 0.08498548 0.18837876 Lattice
277 1 6.85287000 15.69150000 28.06960000 0.09610920 0.23427816 Lattice
278 1 28.59080000 1.77462000 18.56340000 0.11717306 0.32750791 Lattice
279 1 7.04771000 28.84770000 -14.78070000 0.11050159 0.29733149 Lattice
280 1 -17.78650000 28.22190000 -11.87900000 0.12579892 0.36702980 Lattice
