# id type pc1 pc2 pc3 dist_to_ref defect_type
203 1 -0.10829152 -0.05139989 0.02084482 0.12209921 Lattice
204 1 -0.10489673 -0.04398456 0.02024124 0.11748997 Lattice
205 1 0.42567431 -0.14374888 0.13942899 0.81810333 Unknown
206 1 -0.10705796 -0.04858381 0.00984812 0.11885558 Lattice
207 1 -0.10718581 -0.05564257 0.02311474 0.12375007 Lattice
208 1 -0.10571073 -0.04933817 0.01481728 0.11802413 Lattice
209 1 -0.10695589 -0.04567435 0.01078908 0.11722833 Lattice
210 1 -0.10198029 -0.03193966 -0.00256963 0.10962272 Lattice
211 1 -0.06915860 -0.08381712 0.02419922 0.11714695 Lattice
212 1 -0.10029833 -0.04254075 0.01910725 0.11129639 Lattice
213 1 -0.10298867 -0.03672236 0.00801312 0.11022572 Lattice
214 1 -0.10804153 -0.04807892 0.01527749 0.11930859 Lattice
215 1 -0.08095017 -0.03410478 0.00449329 0.08974752 Lattice
216 1 -0.10291705 -0.03634771 -0.00184690 0.11212716 Lattice
217 1 0.48955319 -0.29253560 0.12131978 0.80066367 Unknown
218 1 -0.10290072 -0.03697993 0.01030446 0.11006777 Lattice
219 1 -0.10431719 -0.04466757 0.01667678 0.11536733 Lattice
220 1 -0.10175280 -0.04179616 0.02530145 0.11487434 Lattice
221 1 -0.10508786 -0.04279142 0.01359082 0.11485590 Lattice
222 1 -0.10351726 -0.03909039 0.00268342 0.11224703 Lattice
223 1 -0.07748386 -0.02845840 0.00518756 0.08749326 Lattice
224 1 -0.01193847 -0.01747930 -0.05288112 0.08342389 Lattice
225 1 -0.06892715 -0.03167007 -0.01794803 0.08430831 Lattice
226 1 -0.10196613 -0.03890289 0.00518659 0.11040974 Lattice
227 1 -0.09729234 -0.04175613 0.01853194 0.10833456 Lattice
228 1 -0.10543315 -0.04420725 0.01247015 0.11508408 Lattice
229 1 -0.10443026 -0.04189663 0.01296849 0.11350052 Lattice
230 1 -0.10785541 -0.04828002 0.01679629 0.11943894 Lattice
231 1 -0.10724496 -0.04667176 0.01403617 0.11787732 Lattice
232 1 -0.09923907 -0.03920483 0.00231495 0.10784083 Lattice
233 1 0.51908903 -0.19473625 0.14535949 0.77806433 Unknown
234 1 -0.10677344 -0.05111621 0.01739552 0.11975383 Lattice
235 1 -0.10357414 -0.03910558 0.00499668 0.11169595 Lattice
236 1 -0.09833256 -0.08046539 0.05305233 0.15387138 Unknown
237 1 -0.10852321 -0.05082872 0.01492002 0.12119320 Lattice
238 1 0.57692875 -0.20720767 0.03175949 0.72377154 Unknown
239 1 -0.10381871 -0.04514097 0.02241426 0.11667724 Lattice
240 1 -0.10445891 -0.03843002 0.00385866 0.11247996 Lattice
241 1 -0.10890037 -0.07084614 0.03968718 0.14033290 Lattice
242 1 -0.10381360 -0.04189651 0.01239701 0.11298133 Lattice
243 1 -0.10689826 -0.04707678 0.01729333 0.11844859 Lattice
244 1 -0.09119588 -0.05002231 0.02007025 0.10786705 Lattice
245 1 -0.10527542 -0.04247797 0.00623889 0.11493690 Lattice
246 1 0.32301735 -0.27614835 0.15315308 0.69364525 Unknown
247 1 0.45372672 -0.26828892 0.05725418 0.69816674 Unknown
248 1 -0.10787576 -0.05751358 0.02214763 0.12457360 Lattice
249 1 0.44123636 -0.26361987 0.08218705 0.69324974 Unknown
250 1 -0.10455585 -0.04407187 0.02046618 0.11622669 Lattice
251 1 0.20439788 -0.19847399 0.11064995 0.51046906 Unknown
252 1 -0.03089148 0.03797405 -0.08743882 0.14993277 Lattice
253 1 -0.10585531 -0.04438731 0.01391409 0.11578344 Lattice
254 1 -0.10597992 -0.05161885 0.01523153 0.11899298 Lattice
255 1 0.15583921 -0.14025872 -0.01668990 0.32818186 Unknown
