# id type pc1 pc2 dist_to_ref defect_type
338 1 0.01920889 0.02951520 0.03656187 Lattice
339 1 0.01459494 0.02153324 0.02707013 Lattice
340 1 0.01100380 0.01711037 0.02191195 Lattice
341 1 -0.00050551 -0.00112471 0.00422980 Lattice
342 1 0.00935467 0.01380889 0.01726927 Lattice
343 1 -0.01911463 -0.03034064 0.03641221 Lattice
344 1 -0.00303179 -0.00441965 0.00820950 Lattice
345 1 0.00465110 0.00549300 0.00799778 Lattice
346 1 0.02280959 0.03401353 0.04245491 Lattice
347 1 -0.00031414 -0.00474083 0.01124876 Lattice
348 1 0.01333997 0.01859372 0.02416688 Lattice
349 1 0.01596258 0.01990707 0.03026806 Lattice
350 1 -0.00142931 -0.00549211 0.00988320 Lattice
351 1 -0.00222514 -0.00326553 0.01056406 Lattice
352 1 0.00825081 0.01044661 0.01501144 Lattice
353 1 0.01330163 0.02009515 0.02678927 Lattice
354 1 0.01346591 0.02002658 0.02471362 Lattice
355 1 -0.00189211 -0.00414133 0.00579599 Lattice
356 1 0.00108826 0.00021734 0.00327106 Lattice
357 1 0.01209286 0.01769514 0.02288766 Lattice
358 1 0.00521820 0.00786859 0.00983940 Lattice
359 1 0.00577483 0.00736361 0.01213290 Lattice
360 1 -0.01254201 -0.01896025 0.02378324 Lattice
361 1 -0.00258489 -0.00675093 0.00987753 Lattice
362 1 -0.00018281 -0.00113310 0.00476058 Lattice
363 1 -0.00566079 -0.01137716 0.01532745 Lattice
364 1 0.01152571 0.01524815 0.02125805 Lattice
365 1 0.00164597 0.00104992 0.00491057 Lattice
366 1 0.00043942 -0.00040372 0.00591698 Lattice
367 1 0.02092964 0.03139488 0.03865639 Lattice
368 1 0.02036756 0.02879485 0.03641654 Lattice
369 1 -0.00238301 -0.00501722 0.00630116 Lattice
370 1 -0.00391031 -0.00728007 0.00972234 Lattice
371 1 0.00676948 0.00972214 0.01274573 Lattice
372 1 0.01430568 0.02190327 0.02708535 Lattice
373 1 -0.00628998 -0.01118033 0.01350873 Lattice
374 1 0.00627799 0.00955611 0.01256703 Lattice
375 1 0.00059220 -0.00012120 0.00881445 Lattice
376 1 0.00996861 0.01487270 0.01857880 Lattice
377 1 0.01276810 0.01770465 0.02302513 Lattice
378 1 -0.00043001 -0.00348688 0.00652731 Lattice
379 1 0.00012806 -0.00110049 0.00379069 Lattice
380 1 0.00747071 0.00920510 0.01565208 Lattice
381 1 -0.00217453 -0.00443126 0.00718210 Lattice
382 1 0.01297778 0.01857792 0.02319865 Lattice
383 1 0.00092084 0.00143220 0.00541777 Lattice
384 1 0.00279248 0.00188370 0.00926744 Lattice
385 1 0.02103737 0.02981754 0.03838554 Lattice
386 1 0.02201306 0.03233856 0.04003577 Lattice
387 1 0.01003593 0.01406658 0.01773377 Lattice
388 1 0.00608969 0.00644739 0.01200188 Lattice
389 1 0.00966352 0.01290020 0.01813538 Lattice
390 1 -0.00801133 -0.01292187 0.01567235 Lattice
391 1 -0.00853577 -0.01476166 0.01774869 Lattice
392 1 -0.01379208 -0.02229889 0.02673933 Lattice
393 1 0.01121608 0.01690029 0.02149482 Lattice
394 1 0.00793373 0.00981558 0.01387799 Lattice
395 1 0.01261752 0.01844104 0.02482390 Lattice
396 1 0.00537803 0.00631258 0.00964260 Lattice
397 1 -0.00386915 -0.00757329 0.00991192 Lattice
398 1 -0.01526669 -0.02397503 0.02893603 Lattice
399 1 -0.00203439 -0.00428457 0.00565970 Lattice
400 1 -0.00504317 -0.00863828 0.01051004 Lattice
401 1 -0.00122505 -0.00346274 0.00542740 Lattice
402 1 0.00094006 0.00034045 0.00814910 Lattice
403 1 0.00870164 0.01209277 0.01579970 Lattice
404 1 0.00876148 0.01275941 0.01613026 Lattice
405 1 0.00749617 0.01052518 0.01370359 Lattice
406 1 0.00022515 -0.00047392 0.00375591 Lattice
407 1 0.00586867 0.00732585 0.01197420 Lattice
408 1 -0.00057804 -0.00318040 0.00768511 Lattice
409 1 0.01236539 0.01835369 0.02259043 Lattice
410 1 0.00651722 0.00850759 0.01130096 Lattice
411 1 0.01598536 0.02373083 0.02982769 Lattice
412 1 0.00606255 0.00940952 0.01291303 Lattice
413 1 -0.01184764 -0.02001839 0.02406533 Lattice
414 1 -0.00777477 -0.01441247 0.01713561 Lattice
415 1 0.00466275 0.00682262 0.01182172 Lattice
416 1 0.00902676 0.01267712 0.01654767 Lattice
417 1 -0.00539774 -0.00852874 0.01127165 Lattice
418 1 -0.00697438 -0.01039489 0.01360643 Lattice
419 1 -0.00413951 -0.00702571 0.00944927 Lattice
420 1 0.00351869 0.00418316 0.00735128 Lattice
421 1 0.00052488 -0.00093846 0.00548540 Lattice
422 1 0.00094629 0.00065428 0.00266322 Lattice
423 1 -0.00007620 -0.00120838 0.00320391 Lattice
424 1 0.00002704 -0.00147334 0.00442900 Lattice
425 1 0.01158003 0.01708522 0.02151318 Lattice
426 1 0.00041907 0.00067008 0.00511744 Lattice
427 1 0.01504178 0.02251900 0.02787515 Lattice
428 1 0.01300129 0.01840017 0.02313898 Lattice
429 1 -0.00143772 -0.00304644 0.00618248 Lattice
430 1 0.00241101 0.00083246 0.00711851 Lattice
431 1 -0.00335566 -0.00631361 0.01159421 Lattice
432 1 -0.00350274 -0.00579810 0.00796662 Lattice
