# x y z d_near_max n_grid_pts
-9.73768935 -29.71392143 59.17621829 2.23698771 6
-19.22569436 -4.74423956 32.20984034 2.23694745 4
-6.74147724 -1.74787773 -3.74533027 2.23531303 6
48.18907808 10.73696321 -8.73910397 2.23517086 3
-10.23705804 20.72483596 63.67061462 2.23505774 4
24.71874990 -7.24120774 -71.16127516 2.23467553 6
57.67708309 9.73817593 -1.74782079 2.23381766 5
-67.66445679 -0.24969682 -71.16127516 2.23088477 7
35.20549228 -12.73453776 -58.67684092 2.23056531 6
7.24084593 2.24727137 -17.72789662 2.23011839 11
61.67203257 -4.24484592 16.22976451 2.22967837 6
9.23832067 2.24727137 -19.72540610 2.22928267 9
33.20801754 1.74787773 28.71419875 2.22883241 3
4.24463382 4.74423956 65.16874672 2.22818071 8
27.71496201 -19.22665504 5.24346238 2.22620294 5
8.73895198 -23.22180414 -3.74533027 2.22616301 3
-62.17140126 -6.24242047 -11.23599081 2.22513911 3
-19.72506305 45.69451783 -66.16750146 2.22342500 6
-9.23832067 -54.18420967 -52.18493512 2.22334269 6
-64.16887600 -14.73211231 35.70548192 2.22293108 7
15.23074489 -21.22422959 16.22976451 2.22278871 7
-7.24084593 -61.17572059 71.16127516 2.22241750 3
6.24210856 42.69815601 -65.16874672 2.22218318 5
6.24210856 73.16116789 -56.17995407 2.22208640 4
-26.21685595 24.22059142 15.73038714 2.22142058 5
58.67582046 -8.23999502 69.66314305 2.22100866 5
2.74652777 -14.73211231 -3.74533027 2.22092247 6
7.74021461 -5.24363319 -28.71419875 2.21993817 4
-13.73263883 -13.73332503 32.20984034 2.21843183 5
-42.19665386 1.24848409 15.23100977 2.21821408 2
-16.72885094 9.23878229 39.20112351 2.21769062 7
5.74273988 -1.74787773 -16.22976451 2.21542193 10
-16.72885094 45.69451783 -66.16750146 2.21479190 8
36.70359833 -5.74302683 32.20984034 2.21374050 5
11.73516409 -18.22786777 66.66687883 2.21306955 11
-6.74147724 11.73575048 65.16874672 2.21297665 7
-15.73011357 -4.24484592 32.20984034 2.21235394 5
13.73263883 -17.72847413 -0.24968868 2.21234356 7
0.74905303 80.15267882 -57.67808618 2.21192262 5
8.23958330 -21.22422959 -1.74782079 2.21141364 5
25.71748727 -21.72362323 44.69427457 2.21025262 5
-1.74779040 -3.74545228 28.71419875 2.21023627 8
66.16635073 4.74423956 -26.71668927 2.21023600 4
4.24463382 71.66298698 -56.17995407 2.20984906 5
