# x y z d_near_max n_grid_pts
-24.46906555 26.46786279 15.98007583 2.07328223 1
17.47790397 -33.45937371 -19.97509478 2.07044980 1
2.49684342 6.49211729 46.94147274 2.06934486 1
-19.47537871 -32.46058644 -69.91283173 2.06797750 2
-1.49810605 -3.49575546 28.96388743 2.06766992 2
62.42108560 -4.49454274 15.98007583 2.06609086 1
-6.49179290 -46.44360829 0.00000000 2.06526643 1
27.46527766 -17.47877731 67.91532226 2.06282274 1
-62.42108560 -6.49211729 -10.98630213 2.06244579 1
10.48674238 -68.41692834 63.92030330 2.06188374 1
9.48800501 8.48969184 0.99875474 2.06005837 1
19.47537871 -21.47392641 62.92154856 2.05849947 1
-1.49810605 7.49090456 -17.97758530 2.05638210 1
11.48547975 52.43633194 28.96388743 2.05582416 1
-13.48295449 20.47513914 20.97384952 2.05560289 1
-22.47159082 -33.45937371 67.91532226 2.05415869 1
-35.45517662 5.49333001 0.99875474 2.05380944 1
-7.49053027 -0.49939364 -2.99626422 2.05260357 1
4.49431816 -2.49696819 -66.91656752 2.05152164 1
-26.46654029 -23.47150096 38.95143482 2.05117493 1
-5.49305553 24.47028824 54.93151065 2.05057944 1
-10.48674238 -50.43875739 -49.93773695 2.05023943 1
33.45770188 1.49818091 28.96388743 2.04889534 1
-13.48295449 17.47877731 20.97384952 2.04880155 1
-37.45265136 3.49575546 -29.96264217 2.04772510 1
-20.47411608 -8.48969184 67.91532226 2.04768636 2
0.49936868 3.49575546 -26.96637795 2.04764006 1
30.46148977 -31.46179916 -50.93649169 2.04633949 1
-64.41856034 -14.48241549 35.95517061 2.04631329 1
-15.48042923 8.48969184 -68.91407700 2.04607337 2
2.49684342 -3.49575546 28.96388743 2.04539591 1
-9.48800501 51.43754466 38.95143482 2.04504334 1
-33.45770188 -3.49575546 -62.92154856 2.04317752 1
8.48926764 42.44845919 57.92777487 2.04232395 1
4.49431816 71.41329016 -55.93026539 2.04223219 1
8.48926764 -17.47877731 44.94396326 2.04063689 1
10.48674238 6.49211729 -31.96015165 2.03971175 2
0.49936868 80.40237564 -57.92777487 2.03843751 1
11.48547975 41.44967191 -36.95392535 2.03793648 1
-14.48169186 -1.49818091 -24.96886848 2.03620179 1
-47.44002506 -18.47756459 -26.96637795 2.03434221 1
-7.49053027 -44.44603374 -65.91781278 2.03231502 1
9.48800501 -60.42663014 -19.97509478 2.03175885 1
6.49179290 -12.48484094 12.98381161 2.02914946 2
-6.49179290 62.42420469 -53.93275591 2.02844206 1
10.48674238 -64.42177924 63.92030330 2.02609504 1
-2.49684342 5.49333001 -4.99377370 2.02536565 1
26.46654029 -16.47999004 56.92902013 2.02351918 1
-8.48926764 -50.43875739 33.95766113 2.01983243 1
5.49305553 -26.46786279 -3.99501896 2.01974538 1
63.41982297 -4.49454274 53.93275591 2.01914009 1
20.47411608 33.45937371 -17.97758530 2.01822448 1
17.47790397 -15.48120276 -41.94769904 2.01780563 1
-15.48042923 -4.49454274 31.96015165 2.01754704 1
