# x y z d_near_max n_grid_pts
-37.70233570 8.73938866 39.20112351 2.29343768 1
10.73642672 0.24969682 -19.72540610 2.29337765 3
9.73768935 8.73938866 1.24844342 2.29295888 2
-8.23958330 -20.72483596 55.18119933 2.29214118 2
29.71243674 -19.72604868 68.16501094 2.29200267 1
6.24210856 21.22422959 -41.69801036 2.29137495 2
-20.72380042 22.72241051 -2.24719816 2.29000736 4
-12.23453278 -4.24484592 21.22353821 2.28958913 1
-2.24715908 39.70179418 30.21233086 2.28772836 2
6.24210856 -12.23514412 12.23474555 2.28619713 1
26.71622464 22.22301687 39.70050088 2.28564507 1
29.71243674 1.74787773 25.21855716 2.28552975 2
10.73642672 9.73817593 -46.69178405 2.28393694 2
24.71874990 20.72483596 3.74533027 2.28163024 2
-1.74779040 1.74787773 -23.22104768 2.28118577 1
2.24715908 -3.74545228 28.71419875 2.28059854 1
-29.71243674 -15.73089958 -14.73163240 2.27879645 3
-6.74147724 -9.23878229 -39.20112351 2.27766127 2
25.21811858 0.24969682 -32.20984034 2.27555243 2
-7.24084593 -61.17572059 67.66563357 2.27410475 2
-60.67329520 -9.73817593 -9.73785871 2.27391841 1
-26.21685595 -19.22665504 60.67435040 2.27377651 2
-10.73642672 -34.20846417 19.22602873 2.27294277 1
-7.74021461 47.69209238 -63.17123725 2.27289086 1
5.24337119 -57.18057149 33.70797244 2.27246913 2
-7.24084593 -46.69330511 -0.24968868 2.27243758 1
-44.69349729 8.73938866 -68.16501094 2.27229625 2
-18.72632568 16.72968686 30.21233086 2.27222384 2
-37.20296702 3.24605864 -30.21233086 2.27182415 2
0.24968434 3.74545228 -26.71668927 2.27064219 1
-9.73768935 51.68724148 39.20112351 2.27043780 2
9.73768935 -62.17450787 -21.72291557 2.26905154 1
-35.70486096 5.74302683 1.24844342 2.26904841 1
9.23832067 0.74909046 -50.18742564 2.26746336 2
-5.24337119 -11.23635684 -50.18742564 2.26567649 3
2.24715908 -1.74787773 34.20734981 2.26556315 1
2.74652777 69.66541243 -56.17995407 2.26467981 2
-9.23832067 47.69209238 -61.17372777 2.26237951 1
-12.23453278 -6.24242047 22.72167031 2.26174960 1
-22.72127516 -23.22180414 -39.20112351 2.26162819 1
2.24715908 26.71755961 -65.16874672 2.26161425 2
37.70233570 19.22665504 -35.70548192 2.26154786 1
-47.68970940 -18.22786777 -26.71668927 2.26018071 2
-15.73011357 -19.22665504 60.67435040 2.26011817 1
24.21938121 -1.74787773 23.22104768 2.25943076 2
14.73137620 16.23029322 -67.16625620 2.25849815 2
12.23453278 9.73817593 -23.22104768 2.25827181 1
-53.18276493 -0.74909046 67.66563357 2.25796604 1
