# id type x y z dist_to_ref defect_prob defect_type
246 1 5.28473000 19.32630000 0.06343770 0.02847480 1.00000000 Lattice
247 1 5.25577000 17.59170000 1.65993000 0.02678880 1.00000000 Lattice
248 1 3.51037000 19.49640000 1.93477000 0.01512016 1.00000000 Lattice
249 1 7.06820000 17.48340000 42.31580000 0.02285139 1.00000000 Lattice
250 1 8.78852000 19.45590000 0.13824800 0.01454880 1.00000000 Lattice
251 1 8.86405000 17.59850000 1.71243000 0.00802180 1.00000000 Lattice
252 1 7.09098000 19.40340000 1.73570000 0.03226002 1.00000000 Lattice
253 1 10.52740000 17.63970000 42.36780000 0.01158765 1.00000000 Lattice
254 1 12.35350000 19.30900000 0.06309080 0.04385920 1.00000000 Lattice
255 1 12.23340000 17.57740000 1.71252000 0.01561804 1.00000000 Lattice
256 1 10.58850000 19.39220000 1.83522000 0.01933300 1.00000000 Lattice
257 1 14.02830000 17.53560000 42.35410000 0.01520105 1.00000000 Lattice
258 1 15.97980000 19.38620000 -0.01152340 0.01055455 1.00000000 Lattice
259 1 15.85930000 17.57460000 1.65184000 0.01834407 1.00000000 Lattice
260 1 14.03840000 19.39230000 1.71829000 0.00894868 1.00000000 Lattice
261 1 17.66460000 17.67250000 42.26480000 0.01622135 1.00000000 Lattice
262 1 19.47150000 19.33040000 42.37760000 0.00442539 1.00000000 Lattice
263 1 19.55370000 17.58400000 1.75083000 0.01442886 1.00000000 Lattice
264 1 17.65980000 19.29100000 1.68897000 0.00968949 1.00000000 Lattice
265 1 21.27830000 17.55020000 42.29630000 0.00936550 1.00000000 Lattice
266 1 22.90920000 19.35910000 42.34140000 0.01029185 1.00000000 Lattice
267 1 22.99840000 17.72240000 1.72238000 0.02192799 1.00000000 Lattice
268 1 21.20110000 19.35450000 1.75280000 0.02650672 1.00000000 Lattice
269 1 24.73990000 17.67150000 42.39240000 0.00755318 1.00000000 Lattice
270 1 26.42610000 19.51500000 42.33120000 0.00964170 1.00000000 Lattice
271 1 26.44060000 17.67460000 1.74162000 0.01208695 1.00000000 Lattice
272 1 24.61980000 19.41250000 1.72938000 0.02034929 1.00000000 Lattice
273 1 28.21100000 17.78630000 0.01184430 0.01592900 1.00000000 Lattice
274 1 30.05900000 19.43650000 42.36350000 0.02082089 1.00000000 Lattice
275 1 30.12370000 17.77790000 1.76387000 0.00978123 1.00000000 Lattice
276 1 28.14840000 19.47790000 1.73944000 0.01696724 1.00000000 Lattice
277 1 31.89640000 17.73690000 -0.00726004 0.00794647 1.00000000 Lattice
278 1 33.51670000 19.56850000 0.05250970 0.02503644 1.00000000 Lattice
279 1 33.45950000 17.69870000 1.75278000 0.03125179 1.00000000 Lattice
280 1 31.85820000 19.52900000 1.86384000 0.03192353 1.00000000 Lattice
281 1 35.20520000 17.74130000 -0.02139580 0.03640050 1.00000000 Lattice
282 1 36.98340000 19.48250000 0.02418900 0.01658814 1.00000000 Lattice
283 1 37.17580000 17.73600000 1.77498000 0.01681741 1.00000000 Lattice
284 1 35.33400000 19.43070000 1.76714000 0.00570078 1.00000000 Lattice
285 1 38.89250000 17.80850000 42.30010000 0.01016826 1.00000000 Lattice
286 1 40.75150000 19.45150000 42.29030000 0.03644561 1.00000000 Lattice
287 1 40.66510000 17.65410000 1.65265000 0.03048362 1.00000000 Lattice
288 1 38.84480000 19.40460000 1.69785000 0.02008736 1.00000000 Lattice
289 1 0.06064840 21.21320000 0.04096550 0.02570521 1.00000000 Lattice
290 1 1.74701000 22.94760000 0.06698140 0.00991290 1.00000000 Lattice
291 1 1.76812000 21.15710000 1.80800000 0.02698840 1.00000000 Lattice
292 1 -0.00586161 22.97720000 1.73483000 0.00566628 1.00000000 Lattice
293 1 3.53987000 21.27120000 0.09597800 0.01067120 1.00000000 Lattice
294 1 5.25579000 23.09020000 0.10621800 0.01049071 1.00000000 Lattice
295 1 5.23675000 21.14370000 1.84814000 0.04388921 1.00000000 Lattice
296 1 3.57501000 22.96150000 1.78472000 0.01620266 1.00000000 Lattice
297 1 6.99686000 21.14870000 0.24422300 0.01777110 1.00000000 Lattice
298 1 8.81433000 22.97000000 0.15354000 0.01630508 1.00000000 Lattice
299 1 8.85498000 21.21980000 1.74686000 0.02965406 1.00000000 Lattice
300 1 6.99528000 23.00350000 1.84250000 0.04571057 1.00000000 Lattice
301 1 10.60690000 21.06170000 -0.02435510 0.00996589 1.00000000 Lattice
302 1 12.30120000 22.96690000 42.35850000 0.04014986 1.00000000 Lattice
303 1 12.38830000 21.15220000 1.63933000 0.01339512 1.00000000 Lattice
304 1 10.66850000 22.97840000 1.71836000 0.00587735 1.00000000 Lattice
305 1 14.19570000 21.15000000 0.03170880 0.00729346 1.00000000 Lattice
306 1 15.93290000 22.85610000 0.12420700 0.02304311 1.00000000 Lattice
307 1 15.96620000 21.06220000 1.67729000 0.01277443 1.00000000 Lattice
308 1 14.10790000 22.98370000 1.78356000 0.02050159 1.00000000 Lattice
309 1 17.79900000 21.15630000 42.34930000 0.01161918 1.00000000 Lattice
310 1 19.36240000 22.91350000 42.27750000 0.01140566 1.00000000 Lattice
311 1 19.37750000 21.13620000 1.78540000 0.00984656 1.00000000 Lattice
312 1 17.61330000 22.86010000 1.82184000 0.00900954 1.00000000 Lattice
313 1 21.05890000 21.12580000 0.05032140 0.00727466 1.00000000 Lattice
314 1 22.96140000 22.94180000 42.31710000 0.00908859 1.00000000 Lattice
315 1 22.90590000 21.17860000 1.71151000 0.01060005 1.00000000 Lattice
316 1 21.12330000 22.92070000 1.62721000 0.05398135 1.00000000 Lattice
317 1 24.71550000 21.18930000 42.41710000 0.00949093 1.00000000 Lattice
318 1 26.43940000 22.92980000 42.35230000 0.00792752 1.00000000 Lattice
319 1 26.37600000 21.17930000 1.65711000 0.01337242 1.00000000 Lattice
320 1 24.55000000 22.97290000 1.75969000 0.01531783 1.00000000 Lattice
321 1 28.24660000 21.19890000 42.24120000 0.01186762 1.00000000 Lattice
322 1 29.93660000 22.99610000 -0.00883594 0.02358287 1.00000000 Lattice
323 1 29.91200000 21.17660000 1.77997000 0.00518159 1.00000000 Lattice
324 1 28.21920000 22.92500000 1.72663000 0.00324520 1.00000000 Lattice
325 1 31.67450000 21.23060000 0.05880720 0.01152688 1.00000000 Lattice
326 1 33.60650000 23.02820000 0.07612830 0.02706806 1.00000000 Lattice
327 1 33.55670000 21.22790000 1.75142000 0.00815278 1.00000000 Lattice
328 1 31.73470000 22.95810000 1.67092000 0.02360797 1.00000000 Lattice
329 1 35.31440000 21.19920000 -0.00235095 0.02086596 1.00000000 Lattice
330 1 37.16080000 23.03860000 -0.03425670 0.00847495 1.00000000 Lattice
331 1 37.06230000 21.21270000 1.74341000 0.00724582 1.00000000 Lattice
332 1 35.40380000 22.99170000 1.72728000 0.00794613 1.00000000 Lattice
333 1 38.85320000 21.18400000 -0.00371335 0.02639364 1.00000000 Lattice
334 1 40.68370000 22.94870000 42.25760000 0.03437106 1.00000000 Lattice
335 1 40.63730000 21.20300000 1.65089000 0.02855078 1.00000000 Lattice
336 1 38.82160000 22.91060000 1.92665000 0.02895984 1.00000000 Lattice
337 1 42.38380000 24.72820000 42.36720000 0.02394007 1.00000000 Lattice
